Date	series	OPEN	HIGH	LOW	PREV. CLOSE	ltp	close	vwap	52W H	52W L	VOLUME	VALUE	No of trades									
13-06-2024	EQ	"4,697.25"	"4,739.95"	"4,640.05"	"4,666.75"	"4,655.00"	"4,656.65"	"4,683.94"	"4,924.20"	"3,491.25"	"2,38,268"	"1,11,60,32,514.60"	"28,781"									
12-06-2024	EQ	"4,710.05"	"4,740.00"	"4,645.00"	"4,701.45"	"4,658.00"	"4,666.75"	"4,691.89"	"4,924.20"	"3,491.25"	"5,55,091"	"2,60,44,24,005.10"	"54,555"									
11-06-2024	EQ	"4,800.00"	"4,829.90"	"4,676.00"	"4,778.40"	"4,699.00"	"4,701.45"	"4,764.71"	"4,924.20"	"3,491.25"	"2,66,806"	"1,27,12,54,024.45"	"35,923"									
10-06-2024	EQ	"4,769.05"	"4,812.00"	"4,688.00"	"4,747.25"	"4,770.00"	"4,778.40"	"4,765.25"	"4,924.20"	"3,491.25"	"2,76,907"	"1,31,95,30,863.15"	"40,992"									
07-06-2024	EQ	"4,700.00"	"4,806.35"	"4,690.75"	"4,687.05"	"4,743.00"	"4,747.25"	"4,737.86"	"4,924.20"	"3,491.25"	"3,52,969"	"1,67,23,16,801.80"	"45,372"									
06-06-2024	EQ	"4,861.95"	"4,861.95"	"4,675.25"	"4,862.25"	"4,700.00"	"4,687.05"	"4,750.76"	"4,924.20"	"3,491.25"	"6,64,303"	"3,15,59,46,867.85"	"71,495"									
05-06-2024	EQ	"4,590.00"	"4,900.00"	"4,562.20"	"4,548.75"	"4,855.00"	"4,862.25"	"4,766.58"	"4,924.20"	"3,491.25"	"14,95,770"	"7,12,97,01,078.50"	"1,56,460"									
04-06-2024	EQ	"4,399.00"	"4,590.00"	"4,355.65"	"4,349.35"	"4,525.00"	"4,548.75"	"4,483.43"	"4,924.20"	"3,491.25"	"10,93,378"	"4,90,20,87,754.70"	"1,15,337"									
03-06-2024	EQ	"4,392.95"	"4,400.00"	"4,301.00"	"4,302.15"	"4,346.00"	"4,349.35"	"4,353.27"	"4,924.20"	"3,491.25"	"2,79,797"	"1,21,80,32,178.25"	"46,532"									
31-05-2024	EQ	"4,440.00"	"4,450.00"	"4,250.40"	"4,444.95"	"4,287.35"	"4,302.15"	"4,318.97"	"4,924.20"	"3,437.35"	"8,66,438"	"3,74,21,22,049.45"	"84,063"									
30-05-2024	EQ	"4,475.90"	"4,497.25"	"4,410.00"	"4,476.85"	"4,440.80"	"4,444.95"	"4,440.82"	"4,924.20"	"3,437.35"	"1,41,706"	"62,92,90,432.35"	"23,280"									
29-05-2024	EQ	"4,474.00"	"4,564.85"	"4,435.10"	"4,474.45"	"4,470.00"	"4,476.85"	"4,492.89"	"4,924.20"	"3,437.35"	"2,34,524"	"1,05,36,89,799.35"	"32,405"									
28-05-2024	EQ	"4,551.90"	"4,588.85"	"4,440.20"	"4,537.35"	"4,465.00"	"4,474.45"	"4,501.40"	"4,924.20"	"3,437.35"	"2,24,693"	"1,01,14,33,679.30"	"35,211"									
27-05-2024	EQ	"4,651.55"	"4,669.00"	"4,508.00"	"4,684.50"	"4,542.00"	"4,537.35"	"4,560.93"	"4,924.20"	"3,437.35"	"3,92,853"	"1,79,17,76,437.30"	"60,734"									
24-05-2024	EQ	"4,797.90"	"4,841.40"	"4,674.10"	"4,793.55"	"4,675.70"	"4,684.50"	"4,734.51"	"4,924.20"	"3,382.15"	"3,07,316"	"1,45,49,89,481.50"	"50,917"									
23-05-2024	EQ	"4,794.50"	"4,812.00"	"4,755.80"	"4,798.80"	"4,790.50"	"4,793.55"	"4,785.13"	"4,924.20"	"3,382.15"	"1,51,025"	"72,26,74,210.00"	"40,091"									
22-05-2024	EQ	"4,763.15"	"4,924.20"	"4,737.15"	"4,705.90"	"4,777.90"	"4,798.80"	"4,827.67"	"4,924.20"	"3,382.15"	"7,16,981"	"3,46,13,47,727.65"	"86,073"									
21-05-2024	EQ	"4,670.00"	"4,737.45"	"4,605.45"	"4,670.65"	"4,696.00"	"4,705.90"	"4,695.22"	"4,895.60"	"3,382.15"	"1,79,171"	"84,12,48,033.85"	"27,344"									
18-05-2024	EQ	"4,694.30"	"4,694.30"	"4,618.65"	"4,682.90"	"4,674.65"	"4,670.65"	"4,666.05"	"4,895.60"	"3,352.00"	"17,889"	"8,34,71,042.80"	"3,233"									
17-05-2024	EQ	"4,680.00"	"4,710.00"	"4,665.05"	"4,671.25"	"4,700.00"	"4,682.90"	"4,686.61"	"4,895.60"	"3,352.00"	"2,03,113"	"95,19,10,808.05"	"22,432"									
16-05-2024	EQ	"4,674.30"	"4,699.00"	"4,660.05"	"4,652.45"	"4,675.00"	"4,671.25"	"4,673.04"	"4,895.60"	"3,352.00"	"5,19,285"	"2,42,66,40,406.95"	"39,104"									
15-05-2024	EQ	"4,614.95"	"4,680.00"	"4,597.10"	"4,597.05"	"4,655.00"	"4,652.45"	"4,647.45"	"4,895.60"	"3,352.00"	"2,98,259"	"1,38,61,43,825.95"	"38,729"									
14-05-2024	EQ	"4,739.00"	"4,755.00"	"4,550.35"	"4,693.70"	"4,615.00"	"4,597.05"	"4,621.20"	"4,895.60"	"3,352.00"	"3,76,741"	"1,74,09,96,128.90"	"55,397"									
13-05-2024	EQ	"4,799.95"	"4,809.00"	"4,667.00"	"4,796.80"	"4,683.15"	"4,693.70"	"4,714.11"	"4,895.60"	"3,352.00"	"1,90,782"	"89,93,66,520.95"	"33,021"									
10-05-2024	EQ	"4,798.65"	"4,852.00"	"4,735.85"	"4,798.65"	"4,794.95"	"4,796.80"	"4,792.13"	"4,895.60"	"3,352.00"	"2,90,601"	"1,39,25,98,331.05"	"43,141"									
09-05-2024	EQ	"4,806.75"	"4,895.60"	"4,730.00"	"4,806.75"	"4,776.70"	"4,798.65"	"4,810.72"	"4,895.60"	"3,352.00"	"6,18,014"	"2,97,30,93,221.00"	"43,753"									
08-05-2024	EQ	"4,674.80"	"4,863.80"	"4,670.00"	"4,660.45"	"4,801.00"	"4,806.75"	"4,762.05"	"4,890.00"	"3,352.00"	"8,29,723"	"3,95,11,85,047.90"	"63,012"									
07-05-2024	EQ	"4,619.95"	"4,698.00"	"4,581.00"	"4,600.60"	"4,656.00"	"4,660.45"	"4,656.24"	"4,890.00"	"3,352.00"	"4,31,030"	"2,00,69,77,351.30"	"42,607"									
